,Train Loss
352,tensor(2.4390)
353,tensor(1.6249)
354,tensor(2.6575)
355,tensor(3.4376)
356,tensor(3.0948)
357,tensor(3.5421)
358,tensor(2.1702)
359,tensor(2.6037)
360,tensor(3.6904)
361,tensor(2.1188)
362,tensor(3.0134)
363,tensor(2.1152)
364,tensor(4.7999)
365,tensor(4.0231)
366,tensor(2.8583)
367,tensor(3.6653)
368,tensor(3.1083)
369,tensor(2.3755)
370,tensor(3.1515)
371,tensor(1.7533)
372,tensor(2.5118)
373,tensor(2.6195)
374,tensor(3.3321)
375,tensor(3.5362)
376,tensor(2.6077)
377,tensor(5.0958)
378,tensor(2.6915)
379,tensor(3.4005)
380,tensor(3.7945)
381,tensor(2.4383)
382,tensor(3.2487)
383,tensor(2.5744)
384,tensor(3.2901)
385,tensor(2.5758)
386,tensor(2.1862)
387,tensor(3.8287)
388,tensor(2.1344)
389,tensor(2.7624)
390,tensor(1.7947)
391,tensor(2.2192)
392,tensor(4.0026)
393,tensor(4.0311)
394,tensor(2.6626)
395,tensor(3.3530)
396,tensor(4.1893)
397,tensor(2.3605)
398,tensor(1.9978)
399,tensor(3.2007)
400,tensor(2.0089)
401,tensor(2.3347)
402,tensor(3.4062)
403,tensor(2.5574)
404,tensor(3.3820)
405,tensor(2.5509)
406,tensor(2.4351)
407,tensor(2.5623)
408,tensor(2.6012)
409,tensor(2.5741)
410,tensor(3.2060)
411,tensor(3.3616)
412,tensor(3.0049)
413,tensor(2.6703)
414,tensor(2.2007)
415,tensor(2.3292)
416,tensor(3.6394)
417,tensor(4.8548)
418,tensor(2.2145)
419,tensor(4.0009)
420,tensor(2.5767)
421,tensor(2.7815)
422,tensor(2.4371)
423,tensor(2.7607)
424,tensor(3.5695)
425,tensor(4.9147)
426,tensor(3.4967)
427,tensor(3.0662)
428,tensor(3.2033)
429,tensor(5.3096)
430,tensor(3.2092)
431,tensor(2.5847)
432,tensor(2.5256)
433,tensor(2.2041)
434,tensor(3.9035)
435,tensor(3.3165)
436,tensor(2.8552)
437,tensor(2.6845)
438,tensor(2.5890)
439,tensor(3.9509)
440,tensor(2.2249)
441,tensor(3.1029)
442,tensor(2.2486)
443,tensor(2.0828)
444,tensor(4.1441)
445,tensor(2.0588)
446,tensor(5.5905)
447,tensor(2.8470)
448,tensor(2.7985)
449,tensor(2.0183)
450,tensor(3.9688)
451,tensor(1.7492)
452,tensor(3.0518)
453,tensor(2.5393)
454,tensor(2.3273)
455,tensor(2.4982)
456,tensor(3.6281)
457,tensor(2.2129)
458,tensor(4.2273)
459,tensor(3.9852)
460,tensor(3.0759)
461,tensor(1.9553)
462,tensor(3.9040)
463,tensor(2.8106)
464,tensor(3.4565)
465,tensor(2.7048)
466,tensor(2.6444)
467,tensor(2.1695)
468,tensor(4.5357)
469,tensor(4.8639)
470,tensor(3.2353)
471,tensor(2.4895)
472,tensor(3.8569)
473,tensor(2.3522)
474,tensor(5.0256)
475,tensor(2.3779)
476,tensor(2.2049)
477,tensor(3.5342)
478,tensor(4.2876)
479,tensor(2.9695)
480,tensor(2.6653)
481,tensor(2.4782)
482,tensor(3.1820)
483,tensor(3.1579)
484,tensor(2.4676)
485,tensor(2.4036)
486,tensor(2.3101)
487,tensor(2.6997)
488,tensor(2.4649)
489,tensor(2.6529)
490,tensor(2.5846)
491,tensor(2.8728)
492,tensor(4.8119)
493,tensor(2.7850)
494,tensor(1.8060)
495,tensor(1.8158)
496,tensor(1.8276)
497,tensor(2.7276)
498,tensor(3.2085)
499,tensor(3.1952)
500,tensor(2.5302)
501,tensor(2.7729)
502,tensor(3.5881)
503,tensor(1.9317)
504,tensor(3.1400)
505,tensor(2.8133)
506,tensor(2.5950)
507,tensor(4.0673)
508,tensor(1.7546)
509,tensor(2.3568)
510,tensor(2.2196)
511,tensor(3.6262)
